diag1_4,DIAGNOSIS_GROUP,label
A832,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A833,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A834,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A835,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A836,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A838,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A839,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A840,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A841,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A848,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A849,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A850,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A851,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A852,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A858,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A86X,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A870,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A871,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A872,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A878,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A879,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A880,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A881,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A888,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A89X,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A90X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A91X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A920,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A921,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A922,46,"Meningitis (except that caused by tuberculosis or sexually transmitted disease), Encephalitis (except that caused by tuberculosis or sexually transmitted disease), Other CNS infection and poliomyelitis"
A923,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A924,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A928,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A929,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A930,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A931,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A932,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A938,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A94X,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A950,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A951,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A959,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A960,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A961,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A962,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A968,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A969,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A970,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
A971,6,"Hepatitis, Viral infection, Other infections; including parasitic, Sexually transmitted infections (not HIV or hepatitis), Immunizations and screening for infectious disease"
